x,y,z
99.969,249.979,100.389
100.776,251.503,96.108
96.681,246.676,90.202
100.802,251.411,96.372
97.032,246.914,90.464
96.907,246.818,90.248
96.768,246.77,90.002
100.517,251.246,97.113
101.187,251.924,93.045
100.59,251.206,97.334
99.322,249.835,100.232
96.618,246.835,89.681
99.168,249.752,100.085
100.251,251.087,98.178
99.626,250.324,99.66
99.186,249.898,99.906
99.922,251.043,98.172
100.109,251.078,98.332
99.721,250.776,98.892
99.8,250.943,98.534
99.046,249.953,99.057
100.436,251.597,96.117
100.241,251.279,96.942
100.565,252.245,91.558
96.31,247.063,88.956
98.926,249.958,98.277
99.418,250.696,98.831
100.701,252.207,93.213
99.43,250.855,97.18
99.269,250.675,98.601
99.22,250.655,98.203
99.482,250.855,98.255
99.469,250.806,98.573
99.275,250.91,96.499
100.085,252.252,88.103
99.44,251.411,95.961
99.176,251.455,95.445
91.036,244.21,83.878
62.545,240.967,109.281
62.503,241.889,110.194
62.58,242.844,109.274
62.571,242.857,109.656
62.476,243.082,109.715
62.428,243.419,109.345
62.587,242.951,109.467
61.583,243.127,110.929
62.071,244.387,109.512
60.466,243.245,94.463
60.561,243.174,94.153
62.037,244.964,88.487
60.183,243.161,95.646
56.165,238.721,108.363
61.336,244.852,107.721
59.886,243.476,104.292
61.417,245.182,108.074
61.169,244.924,107.394
61.499,245.078,88.562
61.194,245.18,107.534
60.532,244.466,89.536
56.567,240.419,108.154
61.064,245.345,107.372
59.86,243.896,93.536
60.077,244.132,92.337
60.037,244.247,91.96
60.177,244.317,91.885
60.193,244.399,91.654
56.73,241.099,108.022
60.788,245.562,106.96
60.58,245.641,106.593
59.466,244.913,109.575
56.118,241.55,108.328
56.643,242.52,108.199
59.705,246.113,105.032
55.302,241.418,108.254
59.948,246.089,106.22
55.05,241.437,108.345
57.142,243.604,108.278
57.679,244.478,96.076
54.913,241.451,108.491
57.538,244.759,96.034
57.426,245.185,95.981
59.132,246.626,105.174
58.474,247.158,103.86
57.787,247.05,93.237
58.034,247.672,103.022
59.997,249.973,84.86
53.914,243.234,90.8
58.325,247.939,95.16
59.631,249.507,90.316
58.347,247.705,102.853
54.109,243.387,91.631
58.759,248.817,100.515
58.699,248.852,100.753
58.403,248.28,95.264
58.85,249.01,99.871
58.17,248.956,98.487
58.221,249.443,97.045
57.989,249.351,99.625
57.623,249.381,99.31
57.656,249.302,99.893
58.333,250.956,93.318
57.224,249.458,98.953
58.394,250.948,93.606
58.125,251.092,93.339
55.743,250.497,91.829
55.998,250.987,88.146
104.764,244.202,107.441
103.499,246.143,94.123
58.444,250.215,95.667
60.586,244.569,90.4
61.109,244.569,90.177
59.704,242.754,100.92
60.452,244.467,91.594
61.237,244.968,89.479
60.078,243.896,93.523
61.38,244.975,89.306
68.501,220.563,76.129
69.914,216.614,76.645
69.559,217.864,76.545
69.746,217.683,76.783
69.381,218.521,76.592
60.625,244.579,89.333
60.532,244.648,89.278
58.027,246.934,92.481
58.039,243.717,92.29
58.601,243.716,91.781
57.889,244.958,91.768
57.203,245.104,92.308
60.044,244.19,89.969
59.92,244.082,90.192
90.385,217.721,74.945
84.988,224.9,74.456
84.939,224.672,74.343
85.209,226.066,74.462
84.895,224.859,76.212
88.839,240.413,79.405
88.746,240.582,79.306
101.946,238.936,106.255
101.821,238.895,106.059
101.713,238.863,106.27
103.857,240.179,108.332
100.526,227.076,86.056
100.758,227.0,87.193
100.773,226.975,87.724
100.799,226.975,87.478
100.092,227.325,84.125
99.738,227.71,83.893
99.735,227.648,83.653
99.879,227.48,83.558
100.309,227.139,85.212
100.104,227.272,84.666
100.392,227.254,86.098
100.495,227.123,86.295
100.357,227.237,85.866
100.482,227.286,86.785
100.23,227.258,85.37
100.178,227.215,84.937
99.635,227.825,83.545
89.556,234.449,79.75
88.966,234.496,79.616
89.168,234.5,79.657
90.228,234.328,80.012
88.077,234.219,79.523
89.406,234.367,79.827
90.5,234.167,80.284
90.031,234.3,80.022
90.439,234.284,80.135
92.917,231.12,81.318
92.88,230.645,81.207
92.27,233.125,81.346
87.545,234.116,79.513
85.515,230.627,77.716
85.126,228.167,74.709
92.844,230.88,81.252
88.191,234.381,79.502
88.797,234.424,79.638
90.245,234.195,80.158
92.318,228.894,79.743
92.547,228.889,79.823
87.373,234.175,79.445
88.001,234.366,79.461
90.937,233.743,80.538
93.097,230.244,80.759
93.081,230.076,80.525
93.15,229.42,79.969
92.919,230.01,80.493
85.666,229.868,77.511
85.689,231.869,78.357
88.652,234.481,79.594
92.389,232.691,81.554
92.966,229.879,80.347
92.483,232.464,81.6
89.849,234.23,80.016
86.41,233.238,79.318
92.783,231.113,81.329
85.7,231.457,78.211
92.995,233.391,78.807
87.994,235.021,78.231
92.857,226.338,75.755
99.022,230.236,81.046
99.718,230.322,78.984
100.762,226.994,87.945
100.333,233.199,88.435
101.802,238.856,105.822
99.956,244.679,93.73
97.608,244.441,108.448
99.13,247.325,104.916
99.022,249.664,98.767
99.043,250.625,95.197
96.42,247.269,88.8
97.555,245.994,89.976
96.402,247.004,88.93
96.446,247.068,88.86
96.327,247.179,88.842
96.934,246.759,90.0
96.844,246.741,89.829
96.685,246.786,89.823
96.535,246.776,89.813
96.594,246.714,89.983
97.142,246.905,90.499
97.216,246.953,90.688
97.05,246.771,90.169
91.641,234.303,78.864
93.109,233.175,78.798
92.922,226.582,75.803
92.63,225.518,75.878
93.268,228.177,76.132
99.26,228.389,82.587
99.12,229.141,81.888
101.276,227.444,86.127
99.742,227.573,83.421
100.754,229.584,89.745
97.558,246.16,90.555
100.954,227.064,88.44
99.387,228.114,82.696
99.298,228.262,82.716
88.098,234.883,78.417
97.624,246.001,90.091
96.363,247.594,88.644
99.909,230.768,76.944
97.751,245.963,90.273
91.464,234.374,78.865
93.342,233.065,78.514
93.395,233.275,78.799
99.658,227.829,82.846
101.189,238.971,106.139
99.171,228.847,82.05
99.642,227.721,82.977
99.833,232.687,88.307
98.556,231.188,80.385
98.783,230.805,80.557
91.309,234.684,78.763
88.704,235.788,78.284
100.187,244.964,94.228
99.927,232.502,88.278
99.651,248.722,100.004
100.394,229.866,89.651
99.379,233.879,89.504
99.827,232.789,88.5
100.624,235.674,95.15
100.725,235.687,95.339
100.429,235.752,92.84
99.824,235.678,95.726
99.854,235.669,95.258
100.928,235.876,94.954
99.49,235.923,94.881
99.574,235.656,93.85
101.078,235.797,95.921
100.487,235.242,97.041
100.648,235.913,93.44
100.029,235.556,96.803
99.506,235.376,92.088
99.721,233.156,88.886
99.021,235.007,90.761
99.379,233.952,89.658
100.123,232.679,88.47
100.183,235.176,91.006
99.027,235.308,91.409
99.44,233.679,89.24
100.17,232.531,88.395
100.339,232.432,88.285
99.982,232.626,88.43
100.357,230.015,89.511
100.455,229.976,89.617
100.138,232.23,88.375
100.071,232.422,88.37
100.161,231.338,88.585
100.4,230.405,89.268
100.207,231.189,88.68
100.223,231.689,88.485
100.305,230.856,88.918
100.232,230.859,88.869
100.254,231.922,88.421
100.22,232.36,88.368
100.716,229.781,89.626
100.318,230.315,89.299
100.567,229.447,90.026
100.536,229.643,89.894
67.399,228.303,80.953
67.474,226.898,80.05
69.043,233.653,81.524
57.176,237.217,108.38
57.537,237.162,108.125
57.726,237.219,107.926
57.945,237.093,107.916
58.983,233.195,90.08
58.66,232.294,89.717
58.808,232.35,89.637
58.735,232.844,90.187
58.768,232.453,89.781
58.676,232.459,89.839
58.903,232.567,89.657
58.696,233.53,91.74
58.929,233.396,90.861
58.813,233.614,91.669
58.924,232.442,89.448
58.662,231.888,89.53
58.402,230.494,89.6
58.389,230.261,89.661
58.623,231.304,89.529
58.584,231.007,89.541
58.459,231.014,89.595
58.501,231.257,89.566
58.576,230.562,89.503
58.769,231.794,89.417
58.549,230.361,89.53
58.866,231.888,89.253
58.411,234.276,95.691
58.779,234.209,93.66
58.608,233.983,93.567
58.529,233.942,93.441
58.308,234.211,95.608
58.493,233.995,93.607
58.454,234.02,93.771
58.862,233.793,91.829
58.288,234.337,95.975
58.382,234.324,95.908
58.292,234.307,95.782
58.561,233.631,92.801
58.289,234.383,96.465
60.005,233.575,83.76
58.094,235.46,99.53
58.154,235.09,98.016
58.171,235.144,98.381
58.169,235.12,98.194
58.078,235.178,98.518
58.017,235.432,99.392
58.218,235.518,99.626
58.199,235.567,99.766
58.722,236.038,99.407
58.259,234.536,96.798
58.235,234.482,96.699
58.011,235.948,101.035
58.079,236.006,101.239
58.416,230.042,89.767
58.447,229.004,90.437
58.571,228.832,90.465
58.481,229.875,89.836
58.488,229.718,89.896
58.424,228.82,90.582
58.579,229.763,89.759
58.496,229.366,90.074
58.408,229.583,90.0
58.573,229.006,90.283
58.698,228.726,90.252
75.677,222.643,75.008
75.54,222.645,74.731
80.959,211.527,53.414
84.179,214.858,69.075
84.143,214.794,68.903
84.316,214.75,68.932
84.569,214.895,69.924
83.996,214.766,68.678
84.152,214.286,65.584
84.145,214.485,66.77
84.276,214.421,66.479
84.273,214.429,67.04
84.622,214.851,69.757
84.319,214.967,69.592
84.308,214.434,66.683
84.293,214.414,67.247
84.204,214.913,69.264
86.782,215.321,76.395
86.642,216.245,76.073
86.594,216.1,75.979
86.624,215.715,75.976
86.568,215.942,75.865
75.914,214.117,67.267
76.022,214.058,67.426
75.867,214.099,69.053
74.284,213.045,74.197
72.321,213.423,76.051
77.467,213.399,62.464
69.306,219.037,78.259
74.266,230.046,79.008
73.423,232.313,79.734
73.795,231.53,79.224
72.718,233.268,76.872
71.313,234.473,78.378
65.392,231.175,77.582
70.611,215.643,78.895
80.088,211.1,52.974
80.807,211.54,52.087
79.562,212.15,54.849
80.577,212.017,54.781
81.899,213.479,59.643
74.279,214.035,75.247
84.106,214.434,62.888
84.074,214.166,65.199
84.094,214.246,65.393
87.062,214.323,75.086
86.89,214.425,75.392
69.172,221.108,78.833
86.967,214.324,75.533
87.121,214.295,75.591
87.235,214.255,75.046
86.479,216.138,75.82
86.114,217.465,75.778
84.986,224.519,74.432
85.158,221.337,74.911
85.215,219.561,75.511
83.796,216.505,66.231
83.198,213.745,61.532
79.2,212.585,56.39
79.119,213.427,58.891
77.662,213.298,62.299
77.502,213.355,62.617
76.209,213.951,65.972
75.788,213.797,71.145
74.109,213.861,75.717
74.468,213.774,75.872
74.313,213.917,75.655
72.565,213.027,74.709
70.65,215.43,77.656
71.479,213.319,79.315
72.247,211.936,79.405
68.497,225.456,79.228
67.694,225.11,78.969
74.37,229.851,78.922
74.444,229.662,78.854
73.642,230.982,79.275
72.633,233.324,80.383
72.44,233.458,80.441
67.339,230.821,81.804
68.092,234.57,80.056
69.688,234.552,79.353
79.054,213.494,60.066
85.1,220.608,75.054
84.996,224.326,74.381
85.464,219.27,75.572
84.978,214.076,73.251
79.783,211.154,52.745
71.118,215.084,77.48
58.668,238.863,93.425
71.245,234.389,78.554
73.462,232.095,76.351
71.729,212.317,79.401
71.639,212.49,79.373
74.82,212.473,77.522
70.843,215.115,78.882
73.452,213.882,75.381
79.335,212.995,57.788
79.367,212.5,56.245
85.072,220.4,75.109
85.345,221.659,75.946
85.19,221.349,75.737
85.164,221.137,75.684
87.154,214.311,75.189
86.366,214.642,74.754
66.844,231.236,81.448
67.357,231.506,81.911
74.487,229.461,78.813
72.3,213.482,76.494
74.556,214.301,75.312
74.408,214.11,75.425
74.425,214.111,75.212
75.722,214.002,69.425
79.209,212.989,57.631
84.13,214.012,64.807
84.778,223.839,76.038
85.084,222.699,74.517
84.045,214.274,63.033
83.043,213.691,61.467
66.337,227.292,76.354
66.98,231.41,81.584
84.63,220.135,74.658
85.301,221.855,75.933
85.294,221.401,75.892
80.552,211.924,54.64
63.364,241.883,88.456
75.829,214.114,68.57
84.744,214.214,73.022
74.709,212.509,77.125
68.02,234.2,80.037
85.042,222.425,75.713
85.11,222.368,74.741
86.82,214.531,74.936
66.29,227.52,76.414
79.13,213.106,57.776
77.645,213.321,62.089
85.033,223.759,74.409
85.965,217.443,75.425
74.643,213.019,73.85
73.838,212.988,74.364
85.153,221.034,74.947
85.157,221.543,74.944
74.094,230.188,79.1
79.868,211.17,52.949
70.714,215.504,78.97
85.494,215.388,74.506
58.622,228.365,90.772
58.392,225.597,89.253
58.284,225.593,89.341
58.291,225.961,90.274
58.383,225.771,86.164
59.681,227.714,81.757
58.497,225.672,89.393
58.864,227.74,90.438
58.499,225.49,88.132
83.484,224.49,58.836
80.59,223.487,57.742
84.212,225.27,62.387
79.393,223.09,57.659
79.415,223.277,57.973
81.278,223.31,57.724
81.34,223.362,58.073
80.419,223.47,57.665
83.906,224.645,59.984
84.079,224.91,60.339
76.14,224.743,60.851
75.763,225.261,63.676
75.388,220.823,75.122
76.08,224.792,61.304
76.539,219.677,73.892
75.567,216.895,75.829
75.357,222.002,74.527
75.482,220.117,75.129
75.439,220.234,75.026
57.096,240.297,107.871
58.243,236.443,102.013
58.286,236.598,102.355
57.82,236.83,103.46
57.939,236.812,103.184
58.139,236.327,101.815
58.105,236.199,101.613
57.923,237.507,106.373
58.103,237.514,107.345
57.952,237.526,107.176
58.094,237.392,107.516
62.713,242.168,109.517
60.916,245.523,107.462
61.084,245.419,107.557
58.598,248.25,101.782
58.649,248.022,101.914
54.987,241.213,108.427
54.994,241.002,108.412
57.852,236.934,104.0
57.865,237.569,107.002
59.236,246.646,104.871
58.613,247.695,102.4
58.712,248.568,101.27
55.041,240.651,108.466
55.084,240.461,108.512
56.102,238.402,108.516
56.223,238.245,108.518
57.115,239.308,108.216
57.944,237.468,107.366
57.93,237.271,107.681
57.95,237.368,105.525
57.884,237.419,105.701
57.972,236.893,103.864
57.833,236.869,103.796
57.812,237.427,107.579
57.945,237.369,107.536
57.971,237.086,104.526
58.119,237.538,106.05
57.786,237.32,107.754
58.761,247.074,103.793
55.841,238.759,108.617
60.796,245.599,107.302
57.95,236.814,103.511
59.919,246.127,106.024
60.069,246.029,106.035
59.906,246.139,105.86
57.976,237.548,106.937
60.664,245.663,106.851
60.52,245.754,106.758
58.089,236.775,102.985
58.015,236.956,104.03
57.819,237.004,104.205
57.909,237.012,104.342
97.936,246.048,92.446
97.835,246.154,92.483
75.534,214.986,78.514
